"id","location_id","employee_id","clockIn","clockOut","comment","created_at","updated_at","transNo"
35620,0,189,"2018-01-01 07:29:39","2018-01-01 16:04:00","","2018-01-01 07:29:39","2018-01-01 16:04:00",NULL
35621,0,145,"2018-01-01 08:11:42","2018-01-01 16:31:53","","2018-01-01 08:11:42","2018-01-01 16:31:53",NULL
35622,0,16,"2018-01-01 08:11:52","2018-01-01 17:36:34","","2018-01-01 08:11:52","2018-01-01 17:36:34",NULL
35623,0,491,"2018-01-01 08:37:32","2018-01-01 17:54:53","","2018-01-01 08:37:32","2018-01-01 17:54:53",NULL
35624,0,147,"2018-01-01 08:38:22","2018-01-01 17:54:48","","2018-01-01 08:38:22","2018-01-01 17:54:48",NULL
35625,0,204,"2018-01-01 08:53:29","2018-01-01 17:01:26","","2018-01-01 08:53:29","2018-01-01 17:01:26",NULL
35626,0,603,"2018-01-01 08:54:15","2018-01-01 17:54:42","","2018-01-01 08:54:15","2018-01-01 17:54:42",NULL
35627,0,565,"2018-01-01 08:58:01","2018-01-01 17:23:49","","2018-01-01 08:58:01","2018-01-01 17:23:50",NULL
35628,0,26,"2018-01-01 09:09:19","2018-01-01 17:36:42","","2018-01-01 09:09:19","2018-01-01 17:36:42",NULL
35629,0,688,"2018-01-01 09:39:39","2018-01-01 17:54:36","","2018-01-01 09:39:39","2018-01-01 17:54:36",NULL
35630,0,19,"2018-01-01 09:45:40","2018-01-01 17:47:08","","2018-01-01 09:45:40","2018-01-01 17:47:08",NULL
35631,0,365,"2018-01-01 09:45:45","2018-01-01 17:46:57","","2018-01-01 09:45:45","2018-01-01 17:46:57",NULL
35632,0,665,"2018-01-01 09:45:51","2018-01-01 17:46:48","","2018-01-01 09:45:52","2018-01-01 17:46:48",NULL
35633,0,23,"2018-01-01 11:23:23","2018-01-01 20:08:37","","2018-01-01 11:23:23","2018-01-01 20:08:38",NULL
35798,0,189,"2018-01-02 07:29:55","2018-01-02 16:00:48","","2018-01-02 07:29:55","2018-01-02 16:00:48",NULL
35802,0,16,"2018-01-02 08:18:04","2018-01-02 17:30:58","","2018-01-02 08:18:04","2018-01-02 17:30:58",NULL
35803,0,18,"2018-01-02 08:18:16","2018-01-02 16:32:29","","2018-01-02 08:18:16","2018-01-02 16:32:29",NULL
35806,0,145,"2018-01-02 08:55:44","2018-01-02 17:02:42","","2018-01-02 08:55:44","2018-01-02 17:02:42",NULL
35807,0,147,"2018-01-02 08:55:50","2018-01-02 18:00:26","","2018-01-02 08:55:50","2018-01-02 18:00:26",NULL
35808,0,491,"2018-01-02 08:55:55","2018-01-02 18:00:21","","2018-01-02 08:55:55","2018-01-02 18:00:21",NULL
35809,0,204,"2018-01-02 09:00:58","2018-01-02 17:02:20","","2018-01-02 09:00:58","2018-01-02 17:02:20",NULL
35810,0,26,"2018-01-02 09:08:56","2018-01-02 17:30:50","","2018-01-02 09:08:56","2018-01-02 17:30:50",NULL
35811,0,15,"2018-01-02 09:26:35","2018-01-02 18:35:39","","2018-01-02 09:26:35","2018-01-02 18:35:39",NULL
35812,0,688,"2018-01-02 09:46:53","2018-01-02 18:00:32","","2018-01-02 09:46:53","2018-01-02 18:00:32",NULL
35813,0,365,"2018-01-02 09:47:29","2018-01-02 18:00:49","","2018-01-02 09:47:29","2018-01-02 18:00:49",NULL
35815,0,146,"2018-01-02 10:55:38","2018-01-02 18:04:47","","2018-01-02 10:55:38","2018-01-02 18:04:47",NULL
35818,0,23,"2018-01-02 13:30:24","2018-01-02 18:35:45","","2018-01-02 13:30:24","2018-01-02 18:35:45",NULL
35829,0,722,"2018-01-02 15:04:53","2018-01-02 15:06:59","","2018-01-02 15:04:53","2018-01-02 15:06:59",NULL
35904,0,189,"2018-01-03 07:33:41","2018-01-03 16:06:24","","2018-01-03 07:33:41","2018-01-03 16:06:24",NULL
35906,0,18,"2018-01-03 08:24:15","2018-01-03 16:32:50","","2018-01-03 08:24:15","2018-01-03 16:32:50",NULL
35908,0,145,"2018-01-03 08:47:37","2018-01-03 17:01:51","","2018-01-03 08:47:37","2018-01-03 17:01:52",NULL
35910,0,603,"2018-01-03 08:50:28","2018-01-03 17:59:14","","2018-01-03 08:50:28","2018-01-03 17:59:14",NULL
35911,0,491,"2018-01-03 08:50:42","2018-01-03 18:00:01","","2018-01-03 08:50:42","2018-01-03 18:00:01",NULL
35912,0,204,"2018-01-03 08:51:24","2018-01-03 17:03:32","","2018-01-03 08:51:24","2018-01-03 17:03:32",NULL
35913,0,722,"2018-01-03 09:04:28","2018-01-03 15:04:46","","2018-01-03 09:04:28","2018-01-03 15:04:46",NULL
35914,0,15,"2018-01-03 09:16:12","2018-01-03 18:01:08","","2018-01-03 09:16:12","2018-01-03 18:01:08",NULL
35916,0,365,"2018-01-03 09:46:54","2018-01-03 17:58:28","","2018-01-03 09:46:54","2018-01-03 17:58:28",NULL
35917,0,19,"2018-01-03 09:47:08","2018-01-03 17:58:42","","2018-01-03 09:47:08","2018-01-03 17:58:42",NULL
35918,0,665,"2018-01-03 09:47:16","2018-01-03 17:58:58","","2018-01-03 09:47:16","2018-01-03 17:58:58",NULL
35919,0,688,"2018-01-03 09:48:58","2018-01-03 18:00:07","","2018-01-03 09:48:58","2018-01-03 18:00:07",NULL
35920,0,565,"2018-01-03 09:58:23","2018-01-03 18:01:47","","2018-01-03 09:58:23","2018-01-03 18:01:47",NULL
35922,0,146,"2018-01-03 10:44:43","2018-01-03 17:58:13","","2018-01-03 10:44:43","2018-01-03 17:58:13",NULL
35923,0,23,"2018-01-03 13:04:56","2018-01-03 18:03:46","","2018-01-03 13:04:56","2018-01-03 18:03:46",NULL
35947,0,145,"2018-01-03 17:03:00","2018-01-03 17:03:14","","2018-01-03 17:03:00","2018-01-03 17:03:14",NULL
35950,0,603,"2018-01-03 18:00:45","2018-01-03 18:00:56","","2018-01-03 18:00:45","2018-01-03 18:00:56",NULL
36004,0,18,"2018-01-04 08:20:54","2018-01-04 16:37:12","","2018-01-04 08:20:54","2018-01-04 16:37:12",NULL
36005,0,16,"2018-01-04 08:21:02","2018-01-04 17:33:25","","2018-01-04 08:21:02","2018-01-04 17:33:25",NULL
36008,0,146,"2018-01-04 08:52:57","2018-01-04 17:08:14","","2018-01-04 08:52:57","2018-01-04 17:08:14",NULL
36009,0,147,"2018-01-04 08:55:44","2018-01-04 18:00:00","","2018-01-04 08:55:44","2018-01-04 18:00:00",NULL
36010,0,722,"2018-01-04 09:03:49","2018-01-04 15:12:46","","2018-01-04 09:03:49","2018-01-04 15:12:46",NULL
36011,0,603,"2018-01-04 09:04:00","2018-01-04 18:00:08","","2018-01-04 09:04:00","2018-01-04 18:00:08",NULL
36012,0,15,"2018-01-04 09:14:39","2018-01-04 18:17:13","","2018-01-04 09:14:39","2018-01-04 18:17:14",NULL
36013,0,26,"2018-01-04 09:17:22","2018-01-04 17:30:58","","2018-01-04 09:17:22","2018-01-04 17:30:58",NULL
36014,0,688,"2018-01-04 09:43:54","2018-01-04 18:00:11","","2018-01-04 09:43:54","2018-01-04 18:00:11",NULL
36015,0,565,"2018-01-04 09:53:34","2018-01-04 18:00:23","","2018-01-04 09:53:34","2018-01-04 18:00:23",NULL
36016,0,365,"2018-01-04 09:55:14","2018-01-04 18:02:17","","2018-01-04 09:55:14","2018-01-04 18:02:17",NULL
36019,0,665,"2018-01-04 10:02:53","2018-01-04 18:02:28","","2018-01-04 10:02:53","2018-01-04 18:02:28",NULL
36022,0,23,"2018-01-04 12:00:20","2018-01-04 18:18:42","","2018-01-04 12:00:20","2018-01-04 18:18:42",NULL
36114,0,189,"2018-01-05 07:27:15","2018-01-05 16:04:29","","2018-01-05 07:27:15","2018-01-05 16:04:29",NULL
36116,0,16,"2018-01-05 08:19:32","2018-01-05 17:30:35","","2018-01-05 08:19:32","2018-01-05 17:30:35",NULL
