"id","location","employee_id","role","start_time","end_time","published","note"
43503,1,43,3,"2018-01-01 00:00:00","2018-01-01 05:30:00",1,""
43660,4,557,2,"2018-01-01 00:00:00","2018-01-01 08:00:00",1,""
43990,3,30,3,"2018-01-06 11:00:00","2018-01-06 23:00:00",1,""
43991,3,30,4,"2018-01-07 11:00:00","2018-01-07 21:30:00",1,""
43992,3,79,2,"2018-01-05 11:00:00","2018-01-05 15:00:00",1,""
43993,3,79,2,"2018-01-06 16:00:00","2018-01-06 21:00:00",1,""
43994,3,213,3,"2018-01-02 15:00:00","2018-01-02 23:00:00",1,""
43995,3,213,3,"2018-01-03 11:00:00","2018-01-03 23:00:00",1,""
43996,3,232,2,"2018-01-06 10:30:00","2018-01-06 15:00:00",1,""
43997,3,232,2,"2018-01-07 10:30:00","2018-01-07 15:00:00",1,""
43998,3,234,2,"2018-01-05 18:00:00","2018-01-05 23:00:00",1,""
43999,3,234,2,"2018-01-06 18:00:00","2018-01-06 23:00:00",1,""
44000,3,234,2,"2018-01-07 18:00:00","2018-01-07 23:00:00",1,""
44001,3,235,2,"2018-01-02 17:00:00","2018-01-02 22:00:00",1,""
44002,3,235,2,"2018-01-06 11:00:00","2018-01-06 16:00:00",1,""
44003,3,235,2,"2018-01-07 11:00:00","2018-01-07 21:00:00",1,""
44004,3,244,2,"2018-01-06 17:00:00","2018-01-06 22:00:00",1,""
44005,3,245,3,"2018-01-02 10:30:00","2018-01-02 15:00:00",1,"店长调整时间"
44006,3,245,3,"2018-01-04 11:00:00","2018-01-04 23:00:00",1,""
44007,3,245,3,"2018-01-05 11:00:00","2018-01-05 23:00:00",1,""
44008,3,245,3,"2018-01-07 11:00:00","2018-01-07 23:00:00",1,""
44009,3,465,5,"2018-01-03 11:00:00","2018-01-03 15:00:00",1,""
44010,3,465,5,"2018-01-05 10:30:00","2018-01-05 15:00:00",1,""
44011,3,465,4,"2018-01-06 10:30:00","2018-01-06 21:30:00",1,""
44012,3,465,5,"2018-01-07 10:30:00","2018-01-07 22:30:00",1,""
44013,3,517,2,"2018-01-02 10:30:00","2018-01-02 21:00:00",1,""
44014,3,517,2,"2018-01-03 10:30:00","2018-01-03 21:00:00",1,""
44015,3,517,2,"2018-01-04 10:30:00","2018-01-04 16:00:00",1,""
44016,3,517,2,"2018-01-07 12:00:00","2018-01-07 22:00:00",1,""
44017,3,600,2,"2018-01-03 17:00:00","2018-01-03 23:00:00",1,""
44018,3,600,2,"2018-01-04 17:00:00","2018-01-04 22:00:00",1,""
44019,3,610,2,"2018-01-02 12:00:00","2018-01-02 23:00:00",1,""
44020,3,610,2,"2018-01-03 12:00:00","2018-01-03 22:00:00",1,""
44021,3,610,2,"2018-01-04 12:00:00","2018-01-04 23:00:00",1,""
44022,3,610,2,"2018-01-05 10:30:00","2018-01-05 21:00:00",1,""
44023,3,622,4,"2018-01-06 11:00:00","2018-01-06 22:30:00",1,""
44025,3,624,8,"2018-01-02 14:00:00","2018-01-02 23:00:00",1,""
44027,3,624,8,"2018-01-04 14:00:00","2018-01-04 23:00:00",1,""
44028,3,624,8,"2018-01-05 14:00:00","2018-01-05 23:00:00",1,""
44029,3,624,8,"2018-01-06 14:00:00","2018-01-06 23:00:00",1,""
44030,3,633,8,"2018-01-03 14:00:00","2018-01-03 23:00:00",1,""
44031,3,633,5,"2018-01-05 17:00:00","2018-01-05 22:30:00",1,""
